id,condition,perceived_alt,actC_avg_m_alt,actC_avg_p_alt,actC_avg_a_alt,actMO_avg_m_alt,actMO_avg_s_alt,actMO_avg_e_alt,actMO_avg_o_alt,perceived_self,actC_avg_m_self,actC_avg_p_self,actC_avg_a_self,actMO_avg_m_self,actMO_avg_s_self,actMO_avg_e_self,actMO_avg_o_self,rt,alt_comp_e,alt_comp_m,alt_comp_o,alt_comp_s,alt_comp
106,2,2.833333333,3,2.625,2.875,1.833333333,3.333333333,4,2.166666667,1.458333333,1.625,1.375,1.375,4.166666667,1,0.333333333,0.333333333,32.220125,1.833333333,-1.166666667,0.916666667,1.166666667,0.6875
107,2,3.75,2.5,3.75,5,5,8.333333333,0,1.666666667,0.833333333,1.25,1.25,0,3.333333333,0,0,0,27.348,0,0.833333333,0.833333333,4.166666667,1.458333333
108,3,7.75,7.625,7.75,7.875,6.833333333,6.166666667,8.666666667,9.333333333,0.666666667,1,0.75,0.25,0.666666667,1.666666667,0.333333333,0,18.3665,4.166666667,3.083333333,4.666666667,2.25,3.541666667
109,1,7.708333333,7.5,7.5,8.125,,,,,4.25,4.125,4.375,4.25,,,,,38.53325,,,,,1.729166667
110,2,5.791666667,4.75,4.625,8,4.166666667,2.666666667,7.333333333,9,2.75,3.125,3.875,1.25,4.666666667,4.666666667,1,0.666666667,20.5605,3.166666667,-0.25,4.166666667,-1,1.520833333
111,1,7.833333333,7.25,7.875,8.375,,,,,0.333333333,0.625,0.375,0,,,,,2.819625,,,,,3.75
112,2,5.25,5.125,5,5.625,2.666666667,1.5,8.5,8.333333333,4.708333333,4.625,4.75,4.75,8.166666667,8,1,1.666666667,8.22675,3.75,-2.75,3.333333333,-3.25,0.270833333
113,3,9.833333333,9.625,9.875,10,10,9.5,9.833333333,10,0.25,0.375,0.25,0.125,0,0.666666667,0.333333333,0,8.48625,4.75,5,5,4.416666667,4.791666667
114,2,6.041666667,5.75,6.375,6,3.333333333,3.5,7.5,9.833333333,4.958333333,4.75,4.875,5.25,7.833333333,9.166666667,2.833333333,0,79.978,2.333333333,-2.25,4.916666667,-2.833333333,0.541666667
115,1,7.625,7.25,7.875,7.75,,,,,0.833333333,0.75,0.875,0.875,,,,,21.15875,,,,,3.395833333
116,3,7.083333333,7.375,6.5,7.375,7.166666667,6.666666667,7,7.5,0.5,0.5,0.75,0.25,0.5,0.5,0.833333333,0.166666667,9.895875,3.083333333,3.333333333,3.666666667,3.083333333,3.291666667
117,1,7.875,7.875,8,7.75,,,,,2.833333333,2.625,2.875,3,,,,,3.70225,,,,,2.520833333
118,2,7.466666667,7.8,7.4,7.2,5.333333333,9,7.5,8,2.133333333,2,2.2,2.2,2.333333333,2,1.833333333,2.666666667,5.726,2.833333333,1.5,2.666666667,3.5,2.666666667
119,2,4.083333333,4.25,4,4,2.333333333,2,6.333333333,5.666666667,3.375,3.625,3.625,2.875,5.833333333,5.833333333,1,0.833333333,8.5195,2.666666667,-1.75,2.416666667,-1.916666667,0.354166667
120,3,9.416666667,9.375,9.5,9.375,7.666666667,10,10,10,0.041666667,0,0.125,0,0.166666667,0,0,0,10.311875,5,3.75,5,5,4.6875
121,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2946,0,0,0,0,0
122,3,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,7.235625,5,5,5,5,5
123,1,7.291666667,7.625,6.625,7.625,,,,,0.75,0.5,1.375,0.375,,,,,6.94325,,,,,3.270833333
124,1,4.75,4.625,5,4.625,,,,,0.041666667,0.125,0,0,,,,,4.758625,,,,,2.354166667
125,1,7.583333333,7.75,7.125,7.875,,,,,1.875,1.875,1.875,1.875,,,,,9.145,,,,,2.854166667
