"","id","condition","perceived_alt","actCN_avg_m_alt","actCN_avg_p_alt","actCN_avg_a_alt","actMO_avg_m_alt","actMO_avg_s_alt","actMO_avg_e_alt","actMO_avg_o_alt","rt","alt_comp_e","alt_comp_m","alt_comp_o","alt_comp_s","alt_comp"
"101",101,2,0.791666666666667,-0.125,-0.125,2.625,-0.666666666666667,-1.83333333333333,1.66666666666667,4,12.7285,1.66666666666667,-0.666666666666667,4,-1.83333333333333,0.791666666666667
"102",102,1,1.66666666666667,1.625,1.125,2.25,NA,NA,NA,NA,12.301,NA,NA,NA,NA,1.66666666666667
"103",103,1,1.16666666666667,0.875,1,1.625,NA,NA,NA,NA,9.450125,NA,NA,NA,NA,1.16666666666667
"104",104,2,1.625,1.375,1.625,1.875,0,-1,4,3.5,22.870375,4,0,3.5,-1,1.625
"105",105,4,0.0416666666666667,0,0,0.125,NA,NA,NA,NA,22.05125,NA,NA,NA,NA,0.0416666666666667
"106",106,4,3.33333333333333,3.75,3.125,3.125,NA,NA,NA,NA,10.92325,NA,NA,NA,NA,3.33333333333333
"107",107,1,4.25,4,4.25,4.5,NA,NA,NA,NA,6.506375,NA,NA,NA,NA,4.25
"108",108,3,2.95833333333333,2.75,3,3.125,2.5,2.33333333333333,3.33333333333333,3.66666666666667,6.192875,3.33333333333333,2.5,3.66666666666667,2.33333333333333,2.95833333333333
"109",109,3,4.16666666666667,3.75,4.125,4.625,4,2.66666666666667,5,5,8.920375,5,4,5,2.66666666666667,4.16666666666667
"110",110,2,0.5,0.625,0.125,0.75,-2.66666666666667,-2.66666666666667,3.5,3.83333333333333,14.9,3.5,-2.66666666666667,3.83333333333333,-2.66666666666667,0.5
"111",111,1,2.95833333333333,3.125,2.875,2.875,NA,NA,NA,NA,15.098,NA,NA,NA,NA,2.95833333333333
"112",112,2,3.41666666666667,3.25,3.5,3.5,2.83333333333333,1.66666666666667,4.16666666666667,5,12.358875,4.16666666666667,2.83333333333333,5,1.66666666666667,3.41666666666667
"113",113,4,0.666666666666667,0.5,0.75,0.75,NA,NA,NA,NA,37.904125,NA,NA,NA,NA,0.666666666666667
"114",114,3,2.875,3,3.125,2.5,3.16666666666667,3.66666666666667,3.66666666666667,1,4.4035,3.66666666666667,3.16666666666667,1,3.66666666666667,2.875
"115",115,2,0.541666666666667,0.375,0.625,0.625,-3.5,-2.83333333333333,4.16666666666667,4.33333333333333,26.526125,4.16666666666667,-3.5,4.33333333333333,-2.83333333333333,0.541666666666667
"116",116,4,0.125,0,0.125,0.25,NA,NA,NA,NA,12.226125,NA,NA,NA,NA,0.125
"117",117,2,1.41666666666667,1,1.125,2.125,-2.66666666666667,-1.66666666666667,5,5,10.061875,5,-2.66666666666667,5,-1.66666666666667,1.41666666666667
"118",118,3,5,5,5,5,5,5,5,5,11.035625,5,5,5,5,5
"119",119,4,1,1,0.75,1.25,NA,NA,NA,NA,15.1685,NA,NA,NA,NA,1
"120",120,1,4.41666666666667,4.375,4.625,4.25,NA,NA,NA,NA,8.4905,NA,NA,NA,NA,4.41666666666667
"121",121,2,0.458333333333333,0.125,0.625,0.625,-0.333333333333333,-2.16666666666667,0.833333333333333,3.5,54.865625,0.833333333333333,-0.333333333333333,3.5,-2.16666666666667,0.458333333333333
"123",123,1,4.16666666666667,4.25,3.875,4.375,NA,NA,NA,NA,16.163875,NA,NA,NA,NA,4.16666666666667
"124",124,3,5,5,5,5,5,5,5,5,7.179625,5,5,5,5,5
"125",125,1,2.33333333333333,2.375,2.375,2.25,NA,NA,NA,NA,13.7445,NA,NA,NA,NA,2.33333333333333
"126",126,3,4.79166666666667,4.875,4.75,4.75,4.66666666666667,4.66666666666667,4.83333333333333,5,8.775,4.83333333333333,4.66666666666667,5,4.66666666666667,4.79166666666667
"127",127,2,1.16666666666667,1,1.5,1,-1.16666666666667,0.166666666666667,2.83333333333333,2.83333333333333,6.392125,2.83333333333333,-1.16666666666667,2.83333333333333,0.166666666666667,1.16666666666667
"128",128,4,1.58333333333333,1.5,1.875,1.375,NA,NA,NA,NA,13.45425,NA,NA,NA,NA,1.58333333333333
"129",129,1,4.79166666666667,4.75,4.75,4.875,NA,NA,NA,NA,9.70425,NA,NA,NA,NA,4.79166666666667
"130",130,4,0.291666666666667,0.625,0.5,-0.25,NA,NA,NA,NA,7.339125,NA,NA,NA,NA,0.291666666666667
"131",131,3,3,2.875,2.625,3.5,2.66666666666667,2.33333333333333,4,3,14.648875,4,2.66666666666667,3,2.33333333333333,3
"132",132,1,4.04166666666667,3.5,3.75,4.875,NA,NA,NA,NA,8.55175,NA,NA,NA,NA,4.04166666666667
"133",133,2,1.45833333333333,-0.25,1.125,3.5,-2.5,0.666666666666667,2.66666666666667,5,18.22775,2.66666666666667,-2.5,5,0.666666666666667,1.45833333333333
"134",134,1,3.29166666666667,3,3.125,3.75,NA,NA,NA,NA,5.61225,NA,NA,NA,NA,3.29166666666667
"135",135,3,2.54166666666667,2.125,2.625,2.875,1.16666666666667,2.5,3.16666666666667,3.33333333333333,5.071125,3.16666666666667,1.16666666666667,3.33333333333333,2.5,2.54166666666667
"136",136,2,2.04166666666667,2,1.75,2.375,1,3.16666666666667,1.16666666666667,2.83333333333333,8.145875,1.16666666666667,1,2.83333333333333,3.16666666666667,2.04166666666667
"137",137,4,-0.208333333333333,-0.75,0.625,-0.5,NA,NA,NA,NA,6.53875,NA,NA,NA,NA,-0.208333333333333
"138",138,1,5,5,5,5,NA,NA,NA,NA,7.721125,NA,NA,NA,NA,5
"139",139,2,1.54166666666667,1.75,1.375,1.5,-2.5,-1.33333333333333,5,5,17.759,5,-2.5,5,-1.33333333333333,1.54166666666667
"140",140,3,4.08333333333333,4,4.125,4.125,4.83333333333333,3.5,3.5,4.5,14.261,3.5,4.83333333333333,4.5,3.5,4.08333333333333
"141",141,3,3.91666666666667,3.875,3.875,4,4,4,3.66666666666667,4,9.424,3.66666666666667,4,4,4,3.91666666666667
"142",142,2,0.791666666666667,-0.25,0.875,1.75,-1.5,-1.33333333333333,3.5,2.5,12.266125,3.5,-1.5,2.5,-1.33333333333333,0.791666666666667
